AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-14-91-4763,Local Government Center,0,2013,Actual
01-14-91-4768,Reading Public Library,100000,2013,Actual
01-14-91-4770,Humane Society,145864,2013,Actual
01-14-91-4774,Reading Did,48000,2013,Actual
01-14-91-4780,Civil Service Board,3000,2013,Actual
01-14-91-4781,Interest - GOB Series 2008 C,713527,2013,Actual
01-14-91-4782,Principal - GOB Series 2008 C,10000,2013,Actual
01-14-91-4783,Interest - GOB Series 2008 D,569954,2013,Actual
01-14-91-4784,Principal - GOB 2008 Series D,14400,2013,Actual
01-14-91-4787,Principal GOB A 2008,0,2013,Actual
01-14-91-4788,Interest GOB A 2008,0,2013,Actual
01-14-91-4797,Interest - GOB Series 2008 E,0,2013,Actual
01-14-91-4798,Principal - GOB Series 2008 E,0,2013,Actual
01-14-91-4825,Principal-2012 Series A,397000,2013,Actual
01-14-91-4826,Interest-2012 Series A,52240,2013,Actual
01-14-91-4854,RRA Lease Revenue Note Int.,323512,2013,Actual
01-14-91-4855,RRA Lease Revenue Note Prin,247019,2013,Actual
01-14-91-4861,GOB Series 2008 Interest Exp,696360,2013,Actual
01-14-91-4862,Principal GOB 2008,342351,2013,Actual
01-14-91-4863,Principal - GOB Series 2009,5000,2013,Actual
01-14-91-4864,Interest GOB Series 2009,1168850,2013,Actual
01-14-91-4867,2010 C GOB -Interest,563063,2013,Actual
01-14-91-4868,2010 C GOB - Principal,1075000,2013,Actual
01-14-91-4869,Principal GOB Series 2011 A,2535000,2013,Actual
01-14-91-4870,Interest GOB Series 2011 A,837469,2013,Actual
01-14-91-4871,Principal GOB Series 2011 B,310000,2013,Actual
01-14-91-4872,Interest GOB Series 2011 B,10075,2013,Actual
01-14-91-4907,Unemployment Compensation,150000,2013,Actual
01-14-91-4933,Interest Expense - 2006 GOB,1800329,2013,Actual
01-14-91-4958,Interest Exp - 2002/2005 Bond,0,2013,Actual
01-14-91-4960,Transfer to Self Insurance Fd,2635984,2013,Actual
01-16-00-3300,Rental - Parking Authority,-1000000,2013,Actual
01-16-00-3301,Parking Authority Supplement,-810000,2013,Actual
01-17-91-4776,Board of Ethics,9500,2013,Actual
01-17-91-4777,Charter Review Board,47500,2013,Actual
01-18-91-3554,Grants and Gifts,-47000,2013,Actual
01-18-91-4000,Salaries,100240,2013,Actual
01-18-91-4016,Temporary Wages,35000,2013,Actual
01-18-91-4900,Fringe Benefits,45867,2013,Actual
01-18-91-4901,Pension,27806,2013,Actual
01-18-91-4913,Social Security,10346,2013,Actual
01-18-91-4992,ESG Match,10000,2013,Actual
20-00-00-3010,Property Tax Current,-254458,2013,Actual
20-07-02-4000,Salaries,78705,2013,Actual
20-07-02-4006,Overtime,5000,2013,Actual
20-07-02-4216,Contracted Services,13535,2013,Actual
20-07-02-4307,Conferences/Training,3000,2013,Actual
20-07-02-4317,Dues,500,2013,Actual
20-07-02-4401,Maintenance/Repair Building,1000,2013,Actual
20-07-02-4504,Uniforms,200,2013,Actual
20-07-02-4510,General Plant Supplies,5000,2013,Actual
20-07-02-4514,Botanical Supplies,20000,2013,Actual
20-07-02-4525,Minor Capital Equipment,10000,2013,Actual
20-07-02-4803,Vehicles,62000,2013,Actual
20-07-02-4900,Fringe Benefits,30578,2013,Actual
20-07-02-4901,Pension,18537,2013,Actual
20-07-02-4913,Social Security,6403,2013,Actual
35-07-00-3410,Interest on Investments,0,2013,Actual
35-07-00-3553,State Motor License Fund Grant,-1364200,2013,Actual
35-07-00-4216,Contracted Services,154200,2013,Actual
35-07-00-4500,Vehicle Supplies,10000,2013,Actual
35-07-00-4502,Tires and Tubes,20000,2013,Actual
35-07-00-4503,Repair Parts,60000,2013,Actual
35-07-00-4510,General Plant Supplies,1000,2013,Actual
35-07-00-4528,Small tools,5000,2013,Actual
35-07-00-4795,Ice & Snow Removal,150000,2013,Actual
35-07-00-4803,Vehicles,200000,2013,Actual
35-07-00-4815,Maint/Roads & Bridges,50000,2013,Actual
35-07-24-4102,Street Lighting,714000,2013,Actual
50-15-00-3450,Lease Payment Fr Water Authori,-8687476,2013,Actual
50-15-00-3954,Meter Reading,-180000,2013,Actual
50-15-00-3967,Trsf from Sewer-Utility Bills,-300000,2013,Actual
50-15-81-4200,Advertising,0,2013,Actual
50-15-81-4216,Contracted Services,0,2013,Actual
50-15-81-4229,Cost/Liens/Etc,0,2013,Actual
50-15-81-4307,Conferences/Training,0,2013,Actual
50-15-81-4317,Dues,0,2013,Actual
50-15-81-4406,General Repairs,0,2013,Actual
50-15-81-4504,Uniforms,0,2013,Actual
50-15-81-4506,Office Supplies,0,2013,Actual
50-15-81-4509,Postage,0,2013,Actual
50-15-81-4515,Refunds,0,2013,Actual
50-15-81-4802,Machinery and Equipment,0,2013,Actual
50-15-81-4901,Pension,9269,2013,Actual
50-15-83-4100,Fuel,0,2013,Actual
50-15-83-4101,Light & Power,0,2013,Actual
50-15-83-4104,Telephone,0,2013,Actual
50-15-83-4216,Contracted Services,0,2013,Actual
50-15-83-4406,General Repairs,0,2013,Actual
50-15-83-4501,Gas,0,2013,Actual
50-15-83-4510,General Plant Supplies,0,2013,Actual
50-15-83-4525,Minor Capital Equipment,0,2013,Actual
50-15-83-4800,Land/Land Improvements,0,2013,Actual
50-15-83-4900,Fringe Benefits,45867,2013,Actual
50-15-83-4901,Pension,55613,2013,Actual
50-15-84-4100,Fuel,0,2013,Actual
50-15-84-4101,Light & Power,0,2013,Actual
50-15-84-4104,Telephone,0,2013,Actual
50-15-84-4216,Contracted Services,0,2013,Actual
50-15-84-4406,General Repairs,0,2013,Actual
50-15-84-4510,General Plant Supplies,0,2013,Actual
50-15-84-4513,Chemical Supplies,0,2013,Actual
50-15-84-4521,Instrument Supplies,0,2013,Actual
50-15-84-4525,Minor Capital Equipment,0,2013,Actual
50-15-84-4900,Fringe Benefits,76445,2013,Actual
50-15-84-4901,Pension,83419,2013,Actual
50-15-86-4100,Fuel,0,2013,Actual
50-15-86-4101,Light & Power,0,2013,Actual
50-15-86-4104,Telephone,0,2013,Actual
50-15-86-4216,Contracted Services,0,2013,Actual
50-15-86-4400,Maintenance Communications,0,2013,Actual
50-15-86-4402,Maintenance/Repair Equipment,0,2013,Actual
50-15-86-4406,General Repairs,0,2013,Actual
50-15-86-4500,Vehicle Supplies,0,2013,Actual
50-15-86-4501,Gas,0,2013,Actual
50-15-86-4510,General Plant Supplies,0,2013,Actual
50-15-86-4525,Minor Capital Equipment,0,2013,Actual
50-15-86-4829,Extensions & Improvements,0,2013,Actual
50-15-86-4900,Fringe Benefits,76445,2013,Actual
50-15-86-4901,Pension,101956,2013,Actual
50-15-96-4757,Interest - GOB Seris 2012C,54211,2013,Actual
50-15-96-4783,Interest - GOB Series 2008 D,79156,2013,Actual
50-15-96-4789,Meter Surcharge,1700000,2013,Actual
50-15-96-4797,Interest - GOB Series 2008 E,0,2013,Actual
50-15-96-4923,Bond Expenses-York Cnty Bond,6138,2013,Actual
50-15-96-4939,Interest/Pennvest Loan,0,2013,Actual
50-15-96-4946,Interest Exp-1992/1998 Bond,60549,2013,Actual
50-15-96-4960,Transfer to Self Insurance Fd,98408,2013,Actual
50-15-96-4971,Transfer to General Fund,4970000,2013,Actual
50-15-96-4976,Indirect Cost Reimbursement,250000,2013,Actual
50-15-96-4982,RAWA Act 47,1500000,2013,Actual
52-11-00-3410,Interest on Investments,-20000,2013,Actual
52-11-00-3732,Workmens Comp Reimbursement,-54207,2013,Actual
52-11-00-3750,Damages Recovered,-10000,2013,Actual
52-11-00-3901,Transfer from General Fund,-2635984,2013,Actual
52-11-00-3903,Transfer-Recycling/Trash,-84104,2013,Actual
52-11-00-3950,Transfer - Water Fund,-98408,2013,Actual
52-11-00-3954,Transfer from Sewer Fund,-571568,2013,Actual
52-11-00-4000,Salaries,45000,2013,Actual
52-11-00-4130,Water/Sewer Main Breaks,50000,2013,Actual
52-11-00-4222,Consulting Services,55000,2013,Actual
52-11-00-4307,Conferences/Training,3000,2013,Actual
52-11-00-4510,General Plant Supplies,1000,2013,Actual
52-11-00-4749,incurred Liability Claims,674432,2013,Actual
52-11-00-4752,Premium Payments,843802,2013,Actual
52-11-00-4753,Other Insurance Premium,121851,2013,Actual
52-11-00-4900,Fringe Benefits,30578,2013,Actual
52-11-00-4901,Pension,9269,2013,Actual
52-11-00-4913,Social Security,3443,2013,Actual
52-11-27-4222,Consulting Services,40800,2013,Actual
52-11-27-4320,Bonding Insurance,40000,2013,Actual
52-11-27-4510,General Plant Supplies,7000,2013,Actual
52-11-27-4522,Medical/Surgical Supplies,9125,2013,Actual
52-11-27-4751,W/C Claims-Medical,1384358,2013,Actual
52-11-27-4752,Premium Payments,99929,2013,Actual
52-12-12-4224,Legal Services,55684,2013,Actual
54-07-00-3410,Interest on Investments,-35000,2013,Actual
54-07-00-3618,Interest and Penalty,-150000,2013,Actual
54-07-00-3622,Fines,-75000,2013,Actual
54-07-00-3680,General Consumer,-16387910,2013,Actual
54-07-00-3682,Sewer Rent Treatment,-10000000,2013,Actual
54-07-00-3683,Industrial Waste,-700000,2013,Actual
54-07-00-3685,Sewer Reservation Fees,-100000,2013,Actual
54-07-00-3686,User Application Fee,-2500,2013,Actual
54-07-00-3688,Industrial Waste Testing,-75000,2013,Actual
54-07-00-3689,Revenue Fee,-5000,2013,Actual
54-07-43-4000,Salaries,1199063,2013,Actual
54-07-43-4006,Overtime,160000,2013,Actual
54-07-43-4016,Temporary Wages,55000,2013,Actual
54-07-43-4101,Light & Power,275000,2013,Actual
54-07-43-4104,Telephone,7500,2013,Actual
54-07-43-4107,Water Services,10000,2013,Actual
54-07-43-4200,Advertising,3000,2013,Actual
54-07-43-4203,Rentals/Lease,2000,2013,Actual
54-07-43-4216,Contracted Services,1500000,2013,Actual
54-07-43-4222,Consulting Services,500000,2013,Actual
54-07-43-4235,Fees,15000,2013,Actual
54-07-43-4307,Conferences/Training,10000,2013,Actual
54-07-43-4500,Vehicle Supplies,60000,2013,Actual
54-07-43-4501,Gas,60000,2013,Actual
54-07-43-4504,Uniforms,8000,2013,Actual
54-07-43-4510,General Plant Supplies,12098,2013,Actual
54-07-43-4516,Sewer Repair Supplies,100000,2013,Actual
54-07-43-4523,Hiway Maint/Repair,25000,2013,Actual
54-07-43-4525,Minor Capital Equipment,150000,2013,Actual
54-07-43-4796,Emergency Expense,100000,2013,Actual
54-07-43-4803,Vehicles,450000,2013,Actual
54-07-43-4900,Fringe Benefits,412803,2013,Actual
54-07-43-4901,Pension,231718,2013,Actual
54-07-43-4913,Social Security,108176,2013,Actual
54-07-43-4977,Intradepartmental Direct Cost,150000,2013,Actual
54-07-44-4000,Salaries,2099561,2013,Actual
54-07-44-4006,Overtime,430000,2013,Actual
54-07-44-4016,Temporary Wages,35000,2013,Actual
54-07-44-4101,Light & Power,900000,2013,Actual
54-07-44-4104,Telephone,5000,2013,Actual
54-07-44-4107,Water Services,168000,2013,Actual
54-07-44-4108,Lab Services,50000,2013,Actual
54-07-44-4200,Advertising,6000,2013,Actual
54-07-44-4202,Printing,2000,2013,Actual
54-07-44-4216,Contracted Services,550000,2013,Actual
54-07-44-4222,Consulting Services,450000,2013,Actual
54-07-44-4235,Fees,1500000,2013,Actual
54-07-44-4307,Conferences/Training,30000,2013,Actual
54-07-44-4308,Subscriptions,2000,2013,Actual
54-07-44-4317,Dues,8000,2013,Actual
54-07-44-4406,General Repairs,800000,2013,Actual
54-07-44-4500,Vehicle Supplies,30000,2013,Actual
54-07-44-4501,Gas,45000,2013,Actual
54-07-44-4504,Uniforms,25000,2013,Actual
54-07-44-4508,Lab Supplies,180000,2013,Actual
54-07-44-4510,General Plant Supplies,33000,2013,Actual
54-07-44-4513,Chemical Supplies,639200,2013,Actual
54-07-44-4522,Medical/Surgical Supplies,5000,2013,Actual
54-07-44-4525,Minor Capital Equipment,1518850,2013,Actual
54-07-44-4796,Emergency Expense,100000,2013,Actual
54-07-44-4803,Vehicles,53400,2013,Actual
54-07-44-4900,Fringe Benefits,825606,2013,Actual
54-07-44-4901,Pension,435631,2013,Actual
54-07-44-4911,Penny Fund,1250,2013,Actual
54-07-44-4913,Social Security,196189,2013,Actual
54-07-44-4977,Intradepartmental Direct Cost,35000,2013,Actual
54-07-91-4639,Penalties,1000000,2013,Actual
54-07-91-4738,Depreciation,2582286,2013,Actual
54-07-91-4757,Interest - GOB Seris 2012C,97579,2013,Actual
54-07-91-4783,Interest - GOB Series 2008 D,142424,2013,Actual
54-07-91-4790,Transfer to Water Fund,180000,2013,Actual
54-07-91-4794,Utility Billing Fee from Water,300000,2013,Actual
54-07-91-4797,Interest - GOB Series 2008 E,0,2013,Actual
54-07-91-4857,Amorit of LOC Issuance Cost,2896,2013,Actual
54-07-91-4861,GOB Series 2008 Interest Exp,1652975,2013,Actual
54-07-91-4946,Interest Exp-1992/1998 Bond,0,2013,Actual
54-07-91-4949,Bond Insurance Premium,23445,2013,Actual
54-07-91-4950,Issuance Costs,47750,2013,Actual
54-07-91-4960,Transfer to Self Insurance Fd,571568,2013,Actual
54-07-91-4971,Transfer to General Fund,3000000,2013,Actual
54-07-91-4976,Indirect Cost Reimbursement,1066442,2013,Actual
54-12-12-4224,Legal Services,100000,2013,Actual
56-07-00-3554,Grants and Gifts,-350000,2013,Actual
56-07-00-3641,User Fees,-2250105,2013,Actual
56-07-46-3634,Certifications,-15200,2013,Actual
56-07-46-3646,Recycling Collection - RSD,-49600,2013,Actual
56-07-46-3647,Deliquent Recycling Fees,0,2013,Actual
56-07-46-3679,In-Sourced Recycling Revenue,-98000,2013,Actual
56-07-46-3724,RSD marketing of,-12000,2013,Actual
56-07-46-4000,Salaries,850387,2013,Actual
56-07-46-4006,Overtime,44123.24,2013,Actual
56-07-46-4016,Temporary Wages,30000,2013,Actual
56-07-46-4200,Advertising,23800,2013,Actual
56-07-46-4202,Printing,22500,2013,Actual
56-07-46-4203,Rentals/Lease,208896,2013,Actual
56-07-46-4212,Collection (Portnoff) Expense,10000,2013,Actual
56-07-46-4216,Contracted Services,0,2013,Actual
56-07-46-4224,Legal Services - Risk & Safety,5000,2013,Actual
56-07-46-4307,Conferences/Training,10000,2013,Actual
56-07-46-4308,Subscriptions,500,2013,Actual
56-07-46-4317,Dues,1000,2013,Actual
56-07-46-4501,Gas,81000,2013,Actual
56-07-46-4506,Office Supplies,3000,2013,Actual
56-07-46-4509,Postage,10000,2013,Actual
56-07-46-4510,General Plant Supplies,33000,2013,Actual
56-07-46-4518,Truck Maintenance,21000,2013,Actual
56-07-46-4519,Worker Supplies,7500,2013,Actual
56-07-46-4520,Communication Equipment,4391,2013,Actual
56-07-46-4524,License/CDL Renewal,700,2013,Actual
56-07-46-4525,Minor Capital Equipment,324000,2013,Actual
56-07-46-4526,Graffiti Supplies,0,2013,Actual
56-07-46-4666,Reading Beautification,7500,2013,Actual
56-07-46-4730,Bad Debt Expense,150000,2013,Actual
56-07-46-4735,Indirect Cost,254896,2013,Actual
56-07-46-4803,Vehicles,0,2013,Actual
56-07-46-4900,Fringe Benefits,336358,2013,Actual
56-07-46-4901,Pension,194643,2013,Actual
56-07-46-4911,Penny Fund,350,2013,Actual
56-07-46-4913,Social Security,68880,2013,Actual
56-07-46-4971,Transfer to General Fund,0,2013,Actual
56-07-47-3009,Discount and Allowance,0,2013,Actual
56-07-47-3021,Penalty & Interest,-55500,2013,Actual
56-07-47-3231,Trash Removal Revenue,-3237393,2013,Actual
56-07-47-3634,Certifications,-12500,2013,Actual
56-07-47-3647,Deliquent Recycling Fees,0,2013,Actual
56-07-47-4000,Salaries,215513,2013,Actual
56-07-47-4006,Overtime,2876.76,2013,Actual
56-07-47-4016,Temporary Wages,15000,2013,Actual
56-07-47-4212,Collection (Portnoff) Expense,10000,2013,Actual
56-07-47-4216,Contracted Services,2570816,2013,Actual
56-07-47-4510,General Plant Supplies,23500,2013,Actual
56-07-47-4526,Graffiti Supplies,25000,2013,Actual
56-07-47-4730,Bad Debt Expense,150000,2013,Actual
56-07-47-4735,Indirect Cost,49004,2013,Actual
56-07-47-4736,Tipping Fees,75000,2013,Actual
56-07-47-4900,Fringe Benefits,91734,2013,Actual
56-07-47-4901,Pension,46344,2013,Actual
56-07-47-4911,Penny Fund,42,2013,Actual
56-07-47-4913,Social Security,17940,2013,Actual
56-07-91-4960,Transfer to Self Insurance Fd,84104,2013,Actual
01-00-00-3009,Discount and Allowance,300000,2014,Actual
01-00-00-3010,Property Tax Current,-19783297,2014,Actual
01-00-00-3020,Property Tax Prior,-1300000,2014,Actual
01-00-00-3021,Penalty & Interest,-300000,2014,Actual
01-00-00-3110,Per Capita Tax,-200000,2014,Actual
01-00-00-3111,Per Capita Tax Prior,-5000,2014,Actual
01-00-00-3120,Business Privilege Tax,-1850000,2014,Actual
01-00-00-3121,Bus Priv Tax -  Prior Year,-250000,2014,Actual
01-00-00-3130,Real Estate Transfer Tax,-1982975,2014,Actual
01-00-00-3140,Earned income Tax,-13038495,2014,Actual
01-00-00-3150,Eit Prior Year,-6564325,2014,Actual
01-00-00-3161,Curb & Sidewalk Permit,-20000,2014,Actual
01-00-00-3190,Occupation Tax,-1000000,2014,Actual
01-00-00-3191,Occupation Tax -  Prior Year,-100000,2014,Actual
01-00-00-3210,Food Permits,0,2014,Actual
01-00-00-3220,Electrical Permits,-100053,2014,Actual
01-00-00-3221,New Construction Permits,-90000,2014,Actual
01-00-00-3222,Demolition Permits,-9900,2014,Actual
01-00-00-3223,Remodeling Permits,-320000,2014,Actual
01-00-00-3226,Trades Licenses,-80000,2014,Actual
01-00-00-3227,Examination Fees,-20000,2014,Actual
01-00-00-3228,Commercial Parking Permits,-7000,2014,Actual
01-00-00-3230,Business Privilege License,-350000,2014,Actual
01-00-00-3250,Plumbing Permits,-137211,2014,Actual
01-00-00-3251,Heating Permits,-68646,2014,Actual
01-00-00-3260,Street Cuts,-170000,2014,Actual
01-00-00-3270,Zoning Fees,-128000,2014,Actual
01-00-00-3274,Dumpster Fees,-4666,2014,Actual
01-00-00-3275,Land Development Fees,-20000,2014,Actual
01-00-00-3276,Housing No Show Fee,0,2014,Actual
01-00-00-3278,Housing Prior Year,0,2014,Actual
01-00-00-3280,Housing/Rental Permit,0,2014,Actual
01-00-00-3282,Tax Administration Licenses,-12000,2014,Actual
01-00-00-3283,Franchise Fees,-725000,2014,Actual
01-00-00-3284,Other income,-10000,2014,Actual
01-00-00-3285,No Parking Signs Revenue,-800,2014,Actual
01-00-00-3290,Public Health & Safety,0,2014,Actual
01-00-00-3310,Traffic Fines Motor Codes,-325000,2014,Actual
01-00-00-3322,Quality of Life,0,2014,Actual
01-00-00-3324,Estate of Samuel Potteiger,-2200,2014,Actual
01-00-00-3330,District Court Summary offense,-850000,2014,Actual
01-00-00-3333,Fines and Penalities P.S.P.,-50000,2014,Actual
01-00-00-3334,Fines and Penalities County,-58000,2014,Actual
01-00-00-3420,Rent Other Property Buildings,-65000,2014,Actual
01-00-00-3421,Rental on Stadium,-300000,2014,Actual
01-00-00-3445,Parking Auth Txt Surcharge,-190000,2014,Actual
01-00-00-3447,Act 129 Rebates,0,2014,Actual
01-00-00-3448,RPA Ongoing Program Revenue,0,2014,Actual
01-00-00-3453,RAWA Act 47,-1500000,2014,Actual
01-00-00-3510,Payment in Lieu of Taxes,-80000,2014,Actual
01-00-00-3520,Malt & Liquor Tax Distribution,-50000,2014,Actual
01-00-00-3521,Public Utility Tax Distributio,-49000,2014,Actual
01-00-00-3525,Act 147 of 1988,-38000,2014,Actual
01-00-00-3526,Snow & Ice Control,-50000,2014,Actual
01-00-00-3541,Reading Public Library,-767644,2014,Actual
01-00-00-3543,School District School Guard,-200000,2014,Actual
01-00-00-3550,Police Training Reimbursement,-130000,2014,Actual
01-00-00-3560,Pension-State Contributions,-3150000,2014,Actual
01-00-00-3600,"Copies of Books, Ordinanc, Etc",-500,2014,Actual
01-00-00-3635,Fire Insurance Certification,-400,2014,Actual
01-00-00-3711,Indirect Cost Reimburse-Trash,-133689,2014,Actual
01-00-00-3721,Sales Property/Equipment/Suppl,-5000,2014,Actual
01-00-00-3730,Refund Prior Years Expense,-700,2014,Actual
01-00-00-3743,Miscellaneous,-30000,2014,Actual
01-00-00-3750,Damages Recovered,-5000,2014,Actual
01-00-00-3751,Indirect Cost Reim.-Recycling,-250216,2014,Actual
01-00-00-3752,Indirect Cost Reimburse-Sewer,-1161432,2014,Actual
01-00-00-3753,Indirect Cost Reimburse-CD,-189996,2014,Actual
01-00-00-3762,Pension Reimbursement,-68760,2014,Actual
01-00-00-3766,CD Bond Interest,0,2014,Actual
01-00-00-3950,Transfer - Water Fund,-5170000,2014,Actual
01-00-00-3951,Indirect Cost Reim. - Water,0,2014,Actual
01-00-00-3952,Meter Surcharge,-1700000,2014,Actual
01-00-00-3954,Transfer from Sewer Fund,-3000000,2014,Actual
01-00-00-3990,Transfer from Fund Balance,-1230478,2014,Actual
01-01-01-4000,Salaries,219800.01,2014,Actual
01-01-01-4016,Temporary Wages,16016,2014,Actual
01-01-01-4200,Advertising,500,2014,Actual
01-01-01-4202,Printing,700,2014,Actual
01-01-01-4216,Contracted Services,12499.99,2014,Actual
01-01-01-4307,Conferences/Training,4000,2014,Actual
01-01-01-4308,Subscriptions,1320,2014,Actual
01-01-01-4317,Dues,6500,2014,Actual
01-01-01-4510,General Plant Supplies,5000,2014,Actual
01-01-01-4700,Travel Expense,4000,2014,Actual
01-01-01-4740,Community Promotions,2500,2014,Actual
01-01-01-4743,Miscellaneous Expense,1000,2014,Actual
01-01-01-4900,Fringe Benefits,15289,2014,Actual
01-01-01-4901,Pension,36688,2014,Actual
01-01-01-4913,Social Security,18805,2014,Actual
01-02-09-4000,Salaries,142290,2014,Actual
01-02-09-4016,Temporary Wages,35500,2014,Actual
01-02-09-4200,Advertising,9000,2014,Actual
01-02-09-4202,Printing,2000,2014,Actual
01-02-09-4205,Codified Ordinance,12000,2014,Actual
01-02-09-4224,Legal Services,7500,2014,Actual
01-02-09-4307,Conferences/Training,1200,2014,Actual
01-02-09-4317,Dues,4000,2014,Actual
01-02-09-4411,Maintenance Agreements,9000,2014,Actual
01-02-09-4506,Office Supplies,5500,2014,Actual
01-02-09-4509,Postage,2200,2014,Actual
01-02-09-4510,General Plant Supplies,500,2014,Actual
01-02-09-4740,Community Promotions,500,2014,Actual
01-02-09-4743,Miscellaneous Expense,500,2014,Actual
01-02-09-4900,Fringe Benefits,45867,2014,Actual
01-02-09-4901,Pension,27516,2014,Actual
01-02-09-4913,Social Security,13601,2014,Actual
01-03-08-4000,Salaries,105680,2014,Actual
01-03-08-4510,General Plant Supplies,1000,2014,Actual
01-03-08-4900,Fringe Benefits,30578,2014,Actual
01-03-08-4901,Pension,18344,2014,Actual
01-03-08-4913,Social Security,8085,2014,Actual
01-04-06-3554,Grants and Gifts,-80000,2014,Actual
01-04-06-4000,Salaries,219750,2014,Actual
01-04-06-4016,Temporary Wages,30000,2014,Actual
01-04-06-4216,Contracted Services,80000,2014,Actual
01-04-06-4307,Conferences/Training,3000,2014,Actual
01-04-06-4317,Dues,35000,2014,Actual
01-04-06-4510,General Plant Supplies,2075,2014,Actual
01-04-06-4900,Fringe Benefits,30578,2014,Actual
01-04-06-4901,Pension,27516,2014,Actual
01-04-06-4913,Social Security,19106,2014,Actual
01-06-10-3288,Bank Charge Revenue,-100,2014,Actual
01-06-11-4000,Salaries,216500,2014,Actual
01-06-11-4200,Advertising,1000,2014,Actual
01-06-11-4216,Contracted Services,46000,2014,Actual
01-06-11-4235,Fees,20000,2014,Actual
01-06-11-4307,Conferences/Training,7000,2014,Actual
01-06-11-4308,Subscriptions,250,2014,Actual
01-06-11-4317,Dues,600,2014,Actual
01-06-11-4444,Drug & Alcohol Testing,2000,2014,Actual
01-06-11-4510,General Plant Supplies,10000,2014,Actual
01-06-11-4900,Fringe Benefits,91734,2014,Actual
01-06-11-4901,Pension,36688,2014,Actual
01-06-11-4913,Social Security,15836,2014,Actual
01-06-13-3554,Grants and Gifts,0,2014,Actual
01-06-13-4000,Salaries,264639,2014,Actual
01-06-13-4200,Advertising,0,2014,Actual
01-06-13-4307,Conferences/Training,1920,2014,Actual
01-06-13-4308,Subscriptions,500,2014,Actual
01-06-13-4317,Dues,750,2014,Actual
01-06-13-4510,General Plant Supplies,2880,2014,Actual
01-06-13-4900,Fringe Benefits,61156,2014,Actual
01-06-13-4901,Pension,36688,2014,Actual
01-06-13-4913,Social Security,20245,2014,Actual
01-06-16-4000,Salaries,45900,2014,Actual
01-06-16-4016,Temporary Wages,33000,2014,Actual
01-06-16-4200,Advertising,7000,2014,Actual
01-06-16-4202,Printing,500,2014,Actual
01-06-16-4203,Rentals/Lease,30000,2014,Actual
01-06-16-4307,Conferences/Training,1600,2014,Actual
01-06-16-4317,Dues,350,2014,Actual
01-06-16-4402,Maintenance/Repair Equipment,1500,2014,Actual
01-06-16-4411,Maintenance Agreements,280000,2014,Actual
01-06-16-4506,Office Supplies,25000,2014,Actual
01-06-16-4510,General Plant Supplies,10000,2014,Actual
01-06-16-4900,Fringe Benefits,15289,2014,Actual
01-06-16-4901,Pension,9172,2014,Actual
01-06-16-4913,Social Security,6036,2014,Actual
01-06-18-4000,Salaries,306108,2014,Actual
01-06-18-4002,Longevity,2305,2014,Actual
01-06-18-4016,Temporary Wages,30000,2014,Actual
01-06-18-4200,Advertising,1000,2014,Actual
01-06-18-4216,Contracted Services,185000,2014,Actual
01-06-18-4222,Consulting Services,1200,2014,Actual
01-06-18-4317,Dues,2250,2014,Actual
01-06-18-4510,General Plant Supplies,1200,2014,Actual
01-06-18-4900,Fringe Benefits,122312,2014,Actual
01-06-18-4901,Pension,64204,2014,Actual
01-06-18-4911,Penny Fund,200,2014,Actual
01-06-18-4913,Social Security,25889,2014,Actual
01-06-19-3160,Admissions Fee/Tax,-425000,2014,Actual
01-06-19-3214,Reimb-Collection Expense,-10000,2014,Actual
01-06-19-3631,School District Tax Services,-20000,2014,Actual
01-06-19-4000,Salaries,451152,2014,Actual
01-06-19-4002,Longevity,2210,2014,Actual
01-06-19-4006,Overtime,2000,2014,Actual
01-06-19-4104,Telephone,5000,2014,Actual
01-06-19-4200,Advertising,1000,2014,Actual
01-06-19-4203,Rentals/Lease,0,2014,Actual
01-06-19-4307,Conferences/Training,1000,2014,Actual
01-06-19-4317,Dues,50,2014,Actual
01-06-19-4402,Maintenance/Repair Equipment,250,2014,Actual
01-06-19-4411,Maintenance Agreements,5000,2014,Actual
01-06-19-4509,Postage,40000,2014,Actual
01-06-19-4510,General Plant Supplies,2500,2014,Actual
01-06-19-4900,Fringe Benefits,198757,2014,Actual
01-06-19-4901,Pension,100893,2014,Actual
01-06-19-4913,Social Security,33748,2014,Actual
01-06-23-3554,Grants and Gifts,-15000,2014,Actual
01-06-23-4000,Salaries,530498,2014,Actual
01-06-23-4216,Contracted Services,0,2014,Actual
01-06-23-4222,Consulting Services,25000,2014,Actual
01-06-23-4235,Fees,432873.44,2014,Actual
01-06-23-4307,Conferences/Training,22500,2014,Actual
01-06-23-4411,Maintenance Agreements,448650,2014,Actual
01-06-23-4802,Machinery and Equipment,1020800,2014,Actual
01-06-23-4900,Fringe Benefits,137601,2014,Actual
01-06-23-4901,Pension,82549,2014,Actual
01-06-23-4913,Social Security,40943,2014,Actual
01-07-14-3610,Fleet Maint. - Other Juris.,-40000,2014,Actual
01-07-14-3977,Direct Reimb Sewer,-35000,2014,Actual
01-07-14-4000,Salaries,346574,2014,Actual
01-07-14-4006,Overtime,10000,2014,Actual
01-07-14-4203,Fleet Maint. - Other Juris.,35000,2014,Actual
01-07-14-4216,Contracted Services,110000,2014,Actual
01-07-14-4307,Conferences/Training,3000,2014,Actual
